Freya,Asus,808
Fringe,IBM,516
Frodo,HP,405
Frogger,Lenovo,794
Frost,Asus,770
Fusion,Alienware,1284
Fuzzy,HP,518
Gaia,Acer,786
Gaius,Dell,350
Galactica,Acer,698
Galatea,Dell,414
Galaxy,Gateway,1012
Galba,Gateway,629
Galileo,Toshiba,1010
Gallifrey,Toshiba,660
Gambit,Lenovo,1143
Gamma,Alienware,1094
Gandalf,Asus,658
Ganondorf,Lenovo,1176
Ganymede,Dell,239
Gazelle,Dell,446
Gemini,Toshiba,635
Gemsbok,Gateway,681
Genesis,Apple,1038
Gerenuk,Alienware,1425
Geyser,HP,499
Gigante,Acer,660
Gigo,Samsung,1257
Gimli,Asus,964
Gizmo,Acer,493
Glados,Alienware,1282
GLaDOS,Gateway,1015
Gliese,Asus,702
Gnosis,Asus,726
Golem,Dell,646
Goliath,Samsung,986
Gollum,Lenovo,1045
Gondwana,IBM,717
Gonzo,Acer,455
Gossamer,Lenovo,854
Gravity,Lenovo,824
Greedo,IBM,791
Gremlin,Samsung,1202
Grep,Gateway,977
Grimlock,Toshiba,856
Grimlok,Asus,917
Grover,Lenovo,719
Growl,Lenovo,926
Guardian,Asus,850
Guarismo,Lenovo,893
Guildenstern,Gateway,733
Guilty Spark,Gateway,797
Gumby,Toshiba,737
Hactar,Lenovo,747
Hades,Samsung,851
Hadrian,HP,444
Hal 9000,Samsung,1279
Halo,Gateway,668
Hamal,HP,846
Hamlet,Acer,360
Haumea,IBM,848
Havok,Acer,380
Hawk,Lenovo,1073
Hawkeye,Asus,941
Heimdall,Asus,617
Heisenberg,Asus,938
Helios,Apple,1399
Helix,Alienware,1250
Hercules,IBM,503
Hex,Gateway,1086
Hilly,Alienware,1403
Himalia,Apple,1468
Hodor,Toshiba,1093
Holly,Gateway,784
Horatio,Alienware,1168
Hudson,Alienware,1300
Hydra,Asus,942
Hymie,Dell,610
Hyperbola,Samsung,1215
Hyperion,Acer,645
Hyrule,Samsung,986
Icarus,Samsung,1273
Impala,Samsung,962
Indigo,Alienware,1258
Inferno,Lenovo,815
Infinity,Dell,488
Interceptor,Toshiba,1025
IO,Gateway,913
Ironhide,Samsung,828
Ironman,Apple,1357
Isotope,Samsung,1071
Izar,Acer,437
Jabba,Acer,752
Jade,Toshiba,946
JARVIS,Lenovo,759
Jinx,IBM,546
Joker,Dell,516
Jubilee,IBM,470
Juggernaut,Lenovo,948
Jumanji,Apple,1432
Juno,Alienware,1031
Jupiter,Acer,505
Kano,Dell,458
Kedavra,Gateway,779
Keep,Gateway,654
Kenobi,Alienware,1023
Khan,Asus,883
Kitt,Gateway,981
Klingon,HP,624
Knuckles,Apple,1174
Kraken,Samsung,801
Krang,IBM,760
Kratos,Acer,331
Kronos,HP,704
Krypto,Asus,643
Kryten,Asus,576
Kudu,Acer,783
Kuiper,Gateway,1084
Lancellot,Acer,316
Lando,Toshiba,908
Laplace,Gateway,812
Laurasia,Apple,1344
LCARS,IBM,418
Lear,Asus,699
Lechwe,Acer,532
Leda,Lenovo,797
Leela,Toshiba,997
Legolas,Acer,509
Lemmiwinks,Dell,398
Lemniscate,Samsung,1200
Leonardo,Samsung,997
Leonidas,Alienware,1200
Leviathan,Toshiba,974
Link,IBM,623
Lizard,Lenovo,1139
Loco,Asus,672
Logris,Samsung,934
Loki,Dell,308
Lorenz,Samsung,1288
Lotus,Samsung,1145
Lucario,Dell,405
Ludwig,Dell,569
Luigi,Asus,515
Lulzer,Acer,696
Luminosity,Acer,470
Luminous,Gateway,797
Luna,Lenovo,1199
Lunar,HP,736
Lyra,Samsung,1029
Lysithea,Apple,1282
Maelstrom,HP,705
Magi,Lenovo,905
Magma,Apple,1192
Magneto,Dell,242
Magnus,Samsung,1166
Mainframe,Dell,676
Makemake,Toshiba,662
Manticore,IBM,402
Maresal,Asus,602
Mario,Alienware,1386
Mars,HP,703
Marvin,Lenovo,880
Maximillian,Gateway,646
McFly,Toshiba,848
Meathead,Dell,243
Mechanical Turk,Dell,574
Medusa,Lenovo,1024
Megalodon,Gateway,727
Megatron,Dell,591
Melchior,IBM,656
Mercury,Lenovo,750
Meriadoc,Lenovo,1043
Merlin,Gateway,994
Merovingian,Alienware,1328
Metroplex,Toshiba,938
Michelangelo,Samsung,1212
Midas,Asus,866
Milky,Apple,1362
Minion,Apple,1407
Minos,IBM,808
Minotaur,IBM,729
Modulo,Asus,850
Mojo,Acer,637
Momento,Dell,348
Monet,Acer,477
Moneypenny,Samsung,1110
Monolith,Acer,600
Moose,Apple,1440
Morpheus,Toshiba,948
Mos Eisley,Apple,1373
Mothership,HP,501
Mugi,HP,424
Mystique,Samsung,922
Nachos,HP,544
Nano,Apple,1011
Nautilus,Dell,485
Nebula,Toshiba,1096
Nemesis,Acer,705
Nemo,IBM,836
Neo,Gateway,784
Neptune,Lenovo,1035
Nero,Asus,801
Nerva,Acer,709
Neuromancer,Toshiba,1052
Neutrino,Toshiba,762
Newton,Alienware,1197
Nexus,Gateway,1021
Nightbird,Gateway,760
Night Rider,Lenovo,835
Nightscream,Dell,451
Nightwing,Lenovo,1187
Nimbus,Asus,857
Nimrod,Lenovo,1183
Nitro,Gateway,754
Noodle,Lenovo,795
Northstar,HP,490
Nostromo,Toshiba,949
Nova,Toshiba,782
Novalis,Samsung,807
Oberon,Asus,622
Obsidian,Alienware,1316
Ocelot,Alienware,1000
Octavian,Toshiba,749
Octopus,Acer,675
Odin,Dell,595
Omega,Dell,269
Omicron,Toshiba,1017
Oort,Asus,993
Opal,Asus,648
Optimus,Dell,304
Oracle,Dell,656
Organa,HP,483
Oribi,IBM,518
Origin,Acer,649
Orion,Samsung,1076
Oryx,Dell,566
Osiris,Lenovo,991
Oswin,Alienware,1107
Othello,Dell,649
Otho,Acer,522
Paco,Lenovo,1056
Paladin,Toshiba,1091
Pandora,Lenovo,998
Pangaea,Gateway,784
Parabola,Toshiba,823
Paradox,Asus,891
Peaches,IBM,582
Pegasus,HP,509
Penguin,Apple,1249
Perceptor,Alienware,1439
Peridot,HP,458
Persephone,Toshiba,707
Phantom,Toshiba,937
Phobos,Apple,1071
Phoebus,Toshiba,680
Phoenix,HP,677
Ping,IBM,758
Pipe,Toshiba,643
Pippin,Lenovo,994
Piranna,HP,568
Pixel,Asus,831
Pixie,IBM,407
Pluto,Dell,442
Pluton,IBM,690
Polaris,Alienware,1367
Ponder,Apple,1319
Pong,Gateway,622
Porthos,Alienware,1120
Poseidon,Alienware,1303
Presto,Toshiba,915
Pris,Samsung,997
Prometheus,HP,840
Promethus,IBM,736
Protech,Alienware,1353
Proton,HP,842
Protoss,Alienware,1176
Prowl,Gateway,1064
Proxima,Lenovo,737
Puck,Samsung,1200
Pulse,Gateway,751
Pyro,Samsung,1066
Quadro,HP,754
Quantum,Lenovo,1149
Quark,Alienware,1296
Quasar,Acer,789
Quasimodo,IBM,570
Queeg,Asus,580
Queequeg,Toshiba,828
Quicksilver,Alienware,1124
Quixote,Apple,1241
Qwerty,Acer,465
R2D2,Lenovo,997
Radiator,Alienware,1241
Raphael,Dell,231
Rapido,IBM,786
Raspberry,Samsung,1114
Raven,IBM,823
Reboot,Asus,772
Red Baron,Apple,1394
Red Dwarf,Gateway,692
Red Five,Gateway,886
Reflection,IBM,676
Reindeer,Samsung,1093
Rhea,Gateway,710
Rigel,Acer,643
Ritsu,HP,616
River,Asus,752
Roan,HP,404
Rocksteady,Toshiba,1049
Rogue,Lenovo,955
Rosencrantz,IBM,765
Rubix,Alienware,1418
Ryder,Acer,380
Sabado,HP,471
Sable,Alienware,1249
Saiga,Gateway,939
Saiph,HP,794
Salmagundi,Apple,1300
Samurai,Samsung,1216
Sancho,HP,552
Santiago,Lenovo,1074
Saruman,Alienware,1042
Sassafras,Samsung,929
Saturn,Dell,201
Sauron,Dell,350
Scalar,IBM,674
Scud,Dell,330
Scylla,Acer,668
Sentient,Toshiba,1045
Sentinel,Apple,1380
Seraph,Gateway,649
Serenity,Alienware,1469
Serif,HP,593
Shadowcat,Toshiba,718
Sheik,Toshiba,716
Sheldon,Dell,441
Shepard,Asus,874
Sherlock,Toshiba,881
Shockwave,Asus,654
Sidious,Samsung,1244
Sigma,HP,531
Singh,Apple,1453
Sinope,Asus,788
Sirius,Apple,1327
Sitatunga,Gateway,803
Skynet,IBM,846
Slurpee,HP,603
Snausage,Alienware,1031
Snoopy,Lenovo,1023
Snowbird,Alienware,1273
Socrates,Dell,392
Sol,Gateway,772
Solace,Alienware,1479
Solar,Samsung,1114
Solaris,Gateway,667
Solo,Acer,387
Solstice,Alienware,1017
Soylent Green,Apple,1461
Sparkle,Samsung,896
Sparky,IBM,467
Spartan,Alienware,1132
Spectre,IBM,799
Spock,Asus,778
Spongebob,IBM,597
Spork,Dell,535
Spotty,IBM,487
Springbok,Alienware,1317
Spyro,Apple,1300
Squidward,IBM,832
Stag,IBM,873
Star,Asus,831
Starbug,Asus,716
Stargate,Acer,538
Stark,Apple,1455
Starscream,IBM,541
Steenbok,Toshiba,847
Stegosaurus,Acer,525
Strongbad,Alienware,1073
Stryker,Dell,273
Sunfire,Asus,862
Suni,Lenovo,1048
Swift,Acer,380
Switch,Toshiba,849
T-1000,Asus,976
T-800,Samsung,1065
Talisman,Dell,235
Talos,Dell,695
TARDIS,Acer,790
Teal'c,Apple,1282
Tempest,HP,771
Templar,Gateway,636
Terran,Dell,461
Thadeus,Samsung,948
Thebe,Toshiba,622
Thelonious,IBM,774
Theoden,Samsung,1053
Theorem,IBM,753
Thisbe,Lenovo,995
Thor,IBM,740
Tiberius,Toshiba,621
Tilde,Dell,296
Titan,Toshiba,769
Titus,Gateway,1013
Toaster,Lenovo,764
Togepi,Gateway,775
Tomacco,Alienware,1171
Topi,Lenovo,1052
Trajan,Toshiba,772
Trapezoid,Dell,350
T-Rex,Toshiba,891
Tricia,Toshiba,1044
Trigger,IBM,459
Trillian,HP,626
Trinculo,Apple,1142
Trinity,Toshiba,790
Tron,Toshiba,861
TRON,Acer,686
Tsessebe,IBM,555
Turbo,IBM,840
Twiggy,Alienware,1434
Umbra,Apple,1055
Unicron,Samsung,1113
Unity,Apple,1141
Uranus,Acer,478
Vader,Alienware,1348
Vagus,HP,409
Valhalla,Apple,1265
Valkyrie,Lenovo,1080
Venus,Gateway,679
Vespasian,Asus,513
VIP,HP,874
Viral,Acer,704
Virgil,Apple,1349
Vitellius,Asus,653
Vogon,HP,428
Vortex,Toshiba,1046
Voyager,HP,447
Waldo,IBM,871
Watson,Asus,918
Widget,Gateway,978
Wildebeest,Alienware,1491
Willow,Samsung,1273
Windu,Alienware,1380
Wintermute,Dell,411
Wolverine,IBM,553
Woodstock,Dell,353
Worf,HP,524
Xaaron,Samsung,998
Xarah,Dell,218
Xena,HP,765
Xenon,Asus,546
Xeon,Samsung,813
Xerces,Acer,750
Xocai,Acer,396
Yoda,Toshiba,1001
Yoshi,Samsung,937
Zaphod,Toshiba,806
Zeddicus,Acer,571
Zelda,Apple,1425
Zem,Apple,1109
Zen,Alienware,1048
Zephyr,Dell,507
Zerg,Dell,510
Zero,Gateway,722
Zeta,Apple,1400
Zion,Lenovo,907
Zippy,Samsung,1014
Zircon,Asus,908
Zoidberg,Toshiba,721
Zu'l,Dell,208
